timestamp,device_id,dev_eui,fcnt,encryption_scheme,payload_length,encrypted_payload_length,encryption_time_ns,transmission_time_s,energy_consumption_nj,packet_loss,gateway_id,snr,rssi,data_rate,frequency,sf,bandwidth_hz,rx_power_dbm,tx_start,tx_end
30.0,DEV_003,9248fc49325b5799,0,ChaCha20-Poly1305,27,55,155500,0.575488,11157630.78527769,False,GW_2,21.155476937358703,-91.4757029285166,5,867.5,11,250000,-91.4757029285166,30.0,30.575488
30.0,DEV_005,58ea5af6ab6a0941,0,ChaCha20-Poly1305-Lite,49,65,54000,0.369664,7867583.637984228,False,GW_1,30.51505037168952,-82.88858409000728,5,867.5,10,250000,-82.88858409000728,30.0,30.369664
30.0,DEV_006,787176f17fbdca08,0,ChaCha20-Poly1305-Lite,33,49,37800,0.267264,3863647.726280463,False,GW_1,27.580114881109406,-84.003867039545,5,867.7,11,500000,-84.003867039545,30.0,30.267264
30.0,DEV_016,9439ff9ffb85875d,0,Advanced-ECC-AES,44,224,2548000,0.17676799999999998,2163033.283811834,False,GW_2,22.65635329640977,-91.15708074701058,6,868.3,7,250000,-91.15708074701058,30.0,30.176768
30.0,DEV_017,17ffad60894390d1,0,Hybrid-ECC-AES,19,67,222900,0.184832,2143544.0795874693,False,GW_1,24.834706339310344,-85.97263819215952,5,868.5,10,500000,-85.97263819215952,30.0,30.184832
30.0,DEV_018,aa7ad16904ecfecf,0,Advanced-ECC-AES,50,230,1356300,8.200192,105356291.7481903,False,GW_2,31.219268945305046,-87.58174606254468,0,867.7,12,125000,-87.58174606254468,30.0,38.200192
30.0,DEV_020,b2c201b84a9af945,0,Advanced-ECC-AES,37,217,1492900,0.5432319999999999,13402929.867772404,False,GW_1,23.366813083291827,-91.23498331706415,5,867.3,9,250000,-91.23498331706415,30.0,30.543232
40.0,DEV_012,acc35438ae3a96d4,0,ChaCha20-Poly1305,33,61,87900,1.478656,15588865.947580224,False,GW_2,30.43931088024471,-86.71372825153955,1,867.9,11,125000,-86.71372825153955,40.0,41.478656
60.0,DEV_004,0fdf179ede7911aa,0,AES-128-GCM,11,39,5039100,0.077056,850858.745599224,False,GW_1,17.83646659867724,-94.99483193536749,5,868.5,8,250000,-94.99483193536749,60.0,60.077056
60.0,DEV_007,e3d098a80cc45ce0,0,ChaCha20-Poly1305-Lite,41,57,55800,0.308224,6920811.008035603,False,GW_2,35.8576431968572,-76.44993949882173,5,867.1,11,500000,-76.44993949882173,60.0,60.308224
60.0,DEV_008,acd53140c023c37a,0,ChaCha20-Poly1305-Lite,48,64,37500,0.097536,1818310.923504727,False,GW_2,40.65644079763804,-69.6121766389427,5,867.9,9,500000,-69.6121766389427,60.0,60.097536
60.0,DEV_011,3e9eab81acc2d90c,0,ChaCha20-Poly1305,32,60,24900,0.028224,427343.74388669414,False,GW_1,26.163908539550604,-85.85796044849279,5,868.5,7,500000,-85.85796044849279,60.0,60.028224
60.0,DEV_013,3f1fdbaceaf6af6d,0,AES-128-GCM,26,54,81000,0.184832,4422971.538182129,False,GW_2,40.47156830745723,-76.84012571804892,4,867.3,8,125000,-76.84012571804892,60.0,60.184832
60.0,DEV_015,43f01e2b7ac8a8f8,0,AES-128-GCM,10,38,57200,0.45260799999999995,9325121.55258484,False,GW_2,30.404505513668184,-80.33886550468075,5,867.3,12,500000,-80.33886550468075,60.0,60.452608
60.0,DEV_019,e41b936a20363a0c,0,ChaCha20-Poly1305,35,63,33500,2.793472,28591667.440067127,False,GW_1,31.67563547198452,-84.84785168253725,0,867.9,12,125000,-84.84785168253725,60.0,62.793472
61.0,DEV_006,787176f17fbdca08,1,ChaCha20-Poly1305-Lite,33,49,23500,0.267264,3863647.726280463,False,GW_1,24.544726634656232,-85.8777648618512,5,868.3,11,500000,-85.8777648618512,61.0,61.267264
61.0,DEV_016,9439ff9ffb85875d,1,Advanced-ECC-AES,44,224,1351200,0.17676799999999998,2163033.283811834,False,GW_2,26.588189780418883,-88.03377634028267,6,867.1,7,250000,-88.03377634028267,61.0,61.176768
61.0,DEV_017,17ffad60894390d1,1,Hybrid-ECC-AES,19,67,125800,0.184832,2143544.0795874693,False,GW_1,17.600768580821423,-92.93170039451732,5,867.9,10,500000,-92.93170039451732,61.0,61.184832
67.0,DEV_005,58ea5af6ab6a0941,1,ChaCha20-Poly1305-Lite,49,65,51100,0.369664,7867583.637984228,False,GW_1,35.26093867347093,-77.2255926922501,5,868.1,10,250000,-77.2255926922501,67.0,67.369664
85.0,DEV_020,b2c201b84a9af945,1,Advanced-ECC-AES,37,217,1281500,0.5432319999999999,13402929.867772404,False,GW_1,26.88173607255305,-84.72116360091609,5,868.5,9,250000,-84.72116360091609,85.0,85.543232
88.0,DEV_003,9248fc49325b5799,1,ChaCha20-Poly1305,27,55,58300,0.575488,11157630.78527769,False,GW_2,27.404073151281068,-87.31318859738286,5,867.3,11,250000,-87.31318859738286,88.0,88.575488
